Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Static Method,"""com.stericson.RootShell.RootShell.log""",,,,,,23,15,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\drawer\DrawerMenuSection.java""",,,,10,,42,0,
Public Class,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection""",2,1,0,10,21,40,0,1
Private Constructor,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.DrawerMenuSection""",,,,,,2,0,
Public Static Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.create""",,,,,,6,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.getId""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.getLabel""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.getType""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.isEnabled""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.setId""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.setLabel""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.setmIconId""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.drawer.DrawerMenuSection.updateActionBarTitle""",,,,,,3,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\utils\atcmd\TtyPrivFile.java""",,,,3,,29,19,
Public Class,"""com.SecUpwN.AIMSICD.utils.atcmd.TtyPrivFile""",1,1,0,3,20,26,19,3
Public Constructor,"""com.SecUpwN.AIMSICD.utils.atcmd.TtyPrivFile.TtyPrivFile""",,,,,,6,1,
Private Constructor,"""com.SecUpwN.AIMSICD.utils.atcmd.TtyPrivFile.TtyPrivFile""",,,,,,6,0,
Public Method,"""com.SecUpwN.AIMSICD.utils.atcmd.TtyPrivFile.dispose""",,,,,,10,4,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\smsdetection\CapturedSmsData.java""",,,,23,,82,3,
Public Class,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData""",1,1,0,23,34,81,3,1
Public Constructor,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.CapturedSmsData""",,,,,,2,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getCurrent_cid""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getCurrent_gps_lat""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getCurrent_gps_lon""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getCurrent_lac""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getCurrent_nettype""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getCurrent_roam_status""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getId""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getSenderMsg""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getSenderNumber""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getSmsTimestamp""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.getSmsType""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setCurrent_cid""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setCurrent_gps_lat""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setCurrent_gps_lon""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setCurrent_lac""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setCurrent_nettype""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setCurrent_roam_status""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setId""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setSenderMsg""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setSenderNumber""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setSmsTimestamp""",,,,,,3,0,
Public Method,"""com.SecUpwN.AIMSICD.smsdetection.CapturedSmsData.setSmsType""",,,,,,3,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\utils\DeviceApi17.java""",,,,2,,98,15,
Public Class,"""com.SecUpwN.AIMSICD.utils.DeviceApi17""",1,3,0,2,13,77,15,1
Public Static Method,"""com.SecUpwN.AIMSICD.utils.DeviceApi17.loadCellInfo""",,,,,,65,10,
Public Static Method,"""com.SecUpwN.AIMSICD.utils.DeviceApi17.startListening""",,,,,,9,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\fragments\AtCommandFragment.java""",,,,18,,334,95,
Public Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment""",1,10,0,10,21,302,95,2
Private Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.btnClick""",2,2,0,1,12,10,0,1
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.btnClick.onClick""",,,,,,7,0,
Private Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.commandWait""",,,,,,31,8,
Private Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.executeAT""",,,,,,26,4,
Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.executeAT.(Anon_2)""",2,2,0,1,12,17,0,1
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.executeAT.(Anon_2).handleMessage""",,,,,,15,0,
Private Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.executeCommand""",,,,,,26,6,
Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.executeCommand.(Anon_3)""",2,2,0,1,12,10,0,1
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.executeCommand.(Anon_3).commandOutput""",,,,,,8,0,
Private Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.initSerialDevice""",,,,,,76,38,
Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.initSerialDevice.(Anon_1)""",2,2,0,1,12,12,0,1
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.initSerialDevice.(Anon_1).commandOutput""",,,,,,10,0,
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.onAttach""",,,,,,4,0,
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.onCreateView""",,,,,,21,0,
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.onDestroy""",,,,,,6,0,
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.onResume""",,,,,,21,0,
Private Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.openSerialDevice""",,,,,,9,0,
Private Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.setSerialDevice""",,,,,,6,0,
Private Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.spinnerListener""",2,2,0,2,13,12,0,1
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.spinnerListener.onItemSelected""",,,,,,6,0,
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.spinnerListener.onNothingSelected""",,,,,,2,0,
Private Class,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.timoutSpinnerListener""",2,1,0,2,13,31,8,1
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.timoutSpinnerListener.onItemSelected""",,,,,,25,8,
Public Method,"""com.SecUpwN.AIMSICD.fragments.AtCommandFragment.timoutSpinnerListener.onNothingSelected""",,,,,,2,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\utils\atcmd\TtyStream.java""",,,,4,,98,47,
