Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.distance""",,,,,,3,10,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.init""",,,,,,5,0,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.newQueryPlan""",,,,,,32,18,
Class,"""com.datastax.driver.core.policies.RoundRobinPolicy.newQueryPlan.(Anon_1)""",2,2,0,1,1,13,0,1
Protected Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.newQueryPlan.(Anon_1).computeNext""",,,,,,9,0,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.onAdd""",,,,,,3,0,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.onDown""",,,,,,3,0,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.onRemove""",,,,,,3,0,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.onSuspected""",,,,,,2,0,
Public Method,"""com.datastax.driver.core.policies.RoundRobinPolicy.onUp""",,,,,,3,0,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/policies/RoundRobinPolicy.java""",,,,11,,92,60,
Public Class,"""com.datastax.driver.core.exceptions.AuthenticationException""",1,0,0,5,10,23,15,3
Public Constructor,"""com.datastax.driver.core.exceptions.AuthenticationException.AuthenticationException""",,,,,,4,0,
Private Constructor,"""com.datastax.driver.core.exceptions.AuthenticationException.AuthenticationException""",,,,,,5,0,
Public Method,"""com.datastax.driver.core.exceptions.AuthenticationException.copy""",,,,,,3,0,
Public Method,"""com.datastax.driver.core.exceptions.AuthenticationException.getAddress""",,,,,,3,5,
Public Method,"""com.datastax.driver.core.exceptions.AuthenticationException.getHost""",,,,,,3,7,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/exceptions/AuthenticationException.java""",,,,5,,26,30,
Public Class,"""com.datastax.driver.core.schemabuilder.CreateIndex""",2,2,0,5,5,69,32,1
Constructor,"""com.datastax.driver.core.schemabuilder.CreateIndex.CreateIndex""",,,,,,5,0,
Public Class,"""com.datastax.driver.core.schemabuilder.CreateIndex.CreateIndexOn""",1,2,0,2,2,15,11,1
Public Method,"""com.datastax.driver.core.schemabuilder.CreateIndex.CreateIndexOn.andColumn""",,,,,,6,6,
Public Method,"""com.datastax.driver.core.schemabuilder.CreateIndex.CreateIndexOn.andKeysOfColumn""",,,,,,7,5,
Public Method,"""com.datastax.driver.core.schemabuilder.CreateIndex.buildInternal""",,,,,,21,0,
Public Method,"""com.datastax.driver.core.schemabuilder.CreateIndex.ifNotExists""",,,,,,4,5,
Public Method,"""com.datastax.driver.core.schemabuilder.CreateIndex.onTable""",,,,,,9,7,
Public Method,"""com.datastax.driver.core.schemabuilder.CreateIndex.onTable""",,,,,,6,6,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/schemabuilder/CreateIndex.java""",,,,7,,74,47,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/querybuilder/package-info.java""",,,,0,,1,20,
Public Class,"""com.datastax.driver.core.CassandraTypeParserTest""",1,9,0,5,5,78,1,1
Public Method,"""com.datastax.driver.core.CassandraTypeParserTest.parseNestedCollectionTest""",,,,,,13,1,
Public Method,"""com.datastax.driver.core.CassandraTypeParserTest.parseOneTest""",,,,,,10,0,
Public Method,"""com.datastax.driver.core.CassandraTypeParserTest.parseTupleTest""",,,,,,8,0,
Public Method,"""com.datastax.driver.core.CassandraTypeParserTest.parseUserTypes""",,,,,,27,0,
Public Method,"""com.datastax.driver.core.CassandraTypeParserTest.parseWithCompositeTest""",,,,,,13,0,
File,"""java-driver-2.1.6/driver-core/src/test/java/com/datastax/driver/core/CassandraTypeParserTest.java""",,,,5,,87,16,
Public Class,"""com.datastax.driver.core.TimeoutStressTest""",1,12,0,4,4,153,41,1
Public Static Class,"""com.datastax.driver.core.TimeoutStressTest.TimeoutStressWorker""",2,4,0,2,2,36,2,1
Public Constructor,"""com.datastax.driver.core.TimeoutStressTest.TimeoutStressWorker.TimeoutStressWorker""",,,,,,5,0,
Public Method,"""com.datastax.driver.core.TimeoutStressTest.TimeoutStressWorker.run""",,,,,,25,2,
Class,"""com.datastax.driver.core.TimeoutStressTest.TimeoutStressWorker.run.(Anon_1)""",2,4,0,2,2,14,2,1
Public Method,"""com.datastax.driver.core.TimeoutStressTest.TimeoutStressWorker.run.(Anon_1).onFailure""",,,,,,6,2,
Public Method,"""com.datastax.driver.core.TimeoutStressTest.TimeoutStressWorker.run.(Anon_1).onSuccess""",,,,,,5,0,
Public Method,"""com.datastax.driver.core.TimeoutStressTest.afterClass""",,,,,,11,0,
Public Method,"""com.datastax.driver.core.TimeoutStressTest.beforeClass""",,,,,,18,0,
Public Method,"""com.datastax.driver.core.TimeoutStressTest.host_state_should_be_maintained_with_timeouts""",,,,,,46,30,
Private Static Method,"""com.datastax.driver.core.TimeoutStressTest.setupSchema""",,,,,,25,3,
File,"""java-driver-2.1.6/driver-core/src/test/java/com/datastax/driver/core/TimeoutStressTest.java""",,,,8,,174,56,
Public Interface,"""com.datastax.driver.core.policies.CloseableLoadBalancingPolicy""",1,0,6,1,9,3,5,2
Abstract Method,"""com.datastax.driver.core.policies.CloseableLoadBalancingPolicy.close""",,,,,,1,5,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/policies/CloseableLoadBalancingPolicy.java""",,,,1,,4,26,
Enum Type,"""com.datastax.driver.core.ExceptionCode""",1,1,0,4,4,32,5,1
Private Constructor,"""com.datastax.driver.core.ExceptionCode.ExceptionCode""",,,,,,3,0,
Public Static Method,"""com.datastax.driver.core.ExceptionCode.fromValue""",,,,,,6,0,
Public Method,"""com.datastax.driver.core.ExceptionCode.valueOf""",,,,,,0,0,
Public Method,"""com.datastax.driver.core.ExceptionCode.values""",,,,,,0,0,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/ExceptionCode.java""",,,,4,,36,20,
Public Class,"""com.datastax.driver.core.querybuilder.Truncate""",1,2,0,3,56,20,3,4
Constructor,"""com.datastax.driver.core.querybuilder.Truncate.Truncate""",,,,,,4,0,
Constructor,"""com.datastax.driver.core.querybuilder.Truncate.Truncate""",,,,,,4,0,
Protected Method,"""com.datastax.driver.core.querybuilder.Truncate.buildQueryString""",,,,,,8,0,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/querybuilder/Truncate.java""",,,,3,,24,18,
Public Class,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater""",2,1,0,8,8,78,20,1
Constructor,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.EC2MultiRegionAddressTranslater""",,,,,,3,0,
Public Constructor,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.EC2MultiRegionAddressTranslater""",,,,,,9,0,
Public Method,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.close""",,,,,,7,0,
Private Method,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.lookupPtrRecord""",,,,,,9,0,
Static Method,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.reverse""",,,,,,7,0,
Private Static Method,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.reverseIpv4""",,,,,,8,0,
Private Static Method,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.reverseIpv6""",,,,,,12,0,
Public Method,"""com.datastax.driver.core.policies.EC2MultiRegionAddressTranslater.translate""",,,,,,16,3,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/policies/EC2MultiRegionAddressTranslater.java""",,,,8,,94,35,
Public Generic Interface,"""com.datastax.driver.core.SettableByIndexData""",0,2,4,19,19,20,220,0
TypeVariable,"""com.datastax.driver.core.SettableByIndexData.T""",2,0,0,0,0,0,0,1
Public Abstract Method,"""com.datastax.driver.core.SettableByIndexData.setBool""",,,,,,1,10,
Public Abstract Method,"""com.datastax.driver.core.SettableByIndexData.setBytes""",,,,,,1,14,
