Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
TypeVariable,"""org.thoughtcrime.securesms.database.documents.Document.T""",1,0,0,0,0,0,0,1
Public Abstract Method,"""org.thoughtcrime.securesms.database.documents.Document.getList""",,,,,,1,0,
Public Abstract Method,"""org.thoughtcrime.securesms.database.documents.Document.size""",,,,,,1,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/protocol/KeyExchangeWirePrefix.java""",,,,1,,7,16,
Public Class,"""org.thoughtcrime.securesms.protocol.KeyExchangeWirePrefix""",1,0,0,1,14,6,16,2
Public Method,"""org.thoughtcrime.securesms.protocol.KeyExchangeWirePrefix.calculatePrefix""",,,,,,3,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/PlayServicesProblemFragment.java""",,,,4,,37,16,
Public Class,"""org.thoughtcrime.securesms.PlayServicesProblemFragment""",1,0,0,4,4,28,16,2
Private Method,"""org.thoughtcrime.securesms.PlayServicesProblemFragment.finish""",,,,,,4,0,
Public Method,"""org.thoughtcrime.securesms.PlayServicesProblemFragment.onCancel""",,,,,,4,0,
Public Method,"""org.thoughtcrime.securesms.PlayServicesProblemFragment.onCreateDialog""",,,,,,11,0,
Public Method,"""org.thoughtcrime.securesms.PlayServicesProblemFragment.onDismiss""",,,,,,4,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/service/AccountVerificationTimeoutException.java""",,,,4,,14,0,
Package,"""org.thoughtcrime.securesms.service""",,,,108,,1249,112,
Public Class,"""org.thoughtcrime.securesms.service.AccountVerificationTimeoutException""",1,0,0,4,4,13,0,2
Public Constructor,"""org.thoughtcrime.securesms.service.AccountVerificationTimeoutException.AccountVerificationTimeoutException""",,,,,,2,0,
Public Constructor,"""org.thoughtcrime.securesms.service.AccountVerificationTimeoutException.AccountVerificationTimeoutException""",,,,,,3,0,
Public Constructor,"""org.thoughtcrime.securesms.service.AccountVerificationTimeoutException.AccountVerificationTimeoutException""",,,,,,3,0,
Public Constructor,"""org.thoughtcrime.securesms.service.AccountVerificationTimeoutException.AccountVerificationTimeoutException""",,,,,,3,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/ConversationListActivity.java""",,,,23,,175,17,
Public Class,"""org.thoughtcrime.securesms.ConversationListActivity""",2,14,0,16,42,150,17,4
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.createConversation""",,,,,,7,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.createGroup""",,,,,,4,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.handleClearPassphrase""",,,,,,5,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.handleDisplaySettings""",,,,,,4,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.handleImportExport""",,,,,,3,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.handleMarkAllRead""",,,,,,10,0,
Class,"""org.thoughtcrime.securesms.ConversationListActivity.handleMarkAllRead.(Anon_3)""",2,4,0,1,1,7,0,1
Protected Method,"""org.thoughtcrime.securesms.ConversationListActivity.handleMarkAllRead.(Anon_3).doInBackground""",,,,,,5,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.handleMyIdentity""",,,,,,3,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeContactUpdatesReceiver""",,,,,,18,1,
Class,"""org.thoughtcrime.securesms.ConversationListActivity.initializeContactUpdatesReceiver.(Anon_4)""",2,2,0,1,1,13,1,1
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeContactUpdatesReceiver.(Anon_4).onChange""",,,,,,11,1,
Class,"""org.thoughtcrime.securesms.ConversationListActivity.initializeContactUpdatesReceiver.(Anon_4).onChange.(Anon_5)""",2,2,0,1,1,5,0,1
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeContactUpdatesReceiver.(Anon_4).onChange.(Anon_5).run""",,,,,,3,0,
Private Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch""",,,,,,31,0,
Class,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch.(Anon_1)""",2,2,0,2,2,13,0,1
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch.(Anon_1).onQueryTextChange""",,,,,,3,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch.(Anon_1).onQueryTextSubmit""",,,,,,7,0,
Class,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch.(Anon_2)""",2,2,0,2,2,12,0,1
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch.(Anon_2).onMenuItemActionCollapse""",,,,,,6,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.initializeSearch.(Anon_2).onMenuItemActionExpand""",,,,,,3,0,
Protected Method,"""org.thoughtcrime.securesms.ConversationListActivity.onCreate""",,,,,,9,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.onCreateConversation""",,,,,,3,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.onDestroy""",,,,,,4,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.onOptionsItemSelected""",,,,,,12,0,
Protected Method,"""org.thoughtcrime.securesms.ConversationListActivity.onPreCreate""",,,,,,4,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.onPrepareOptionsMenu""",,,,,,11,0,
Public Method,"""org.thoughtcrime.securesms.ConversationListActivity.onResume""",,,,,,5,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/util/MediaUtil.java""",,,,11,,86,0,
Public Class,"""org.thoughtcrime.securesms.util.MediaUtil""",1,12,0,7,7,69,0,1
Public Static Class,"""org.thoughtcrime.securesms.util.MediaUtil.ThumbnailData""",1,1,0,4,4,17,0,1
Public Constructor,"""org.thoughtcrime.securesms.util.MediaUtil.ThumbnailData.ThumbnailData""",,,,,,4,0,
Public Method,"""org.thoughtcrime.securesms.util.MediaUtil.ThumbnailData.getAspectRatio""",,,,,,3,0,
Public Method,"""org.thoughtcrime.securesms.util.MediaUtil.ThumbnailData.getBitmap""",,,,,,3,0,
Public Method,"""org.thoughtcrime.securesms.util.MediaUtil.ThumbnailData.toDataStream""",,,,,,3,0,
Private Static Method,"""org.thoughtcrime.securesms.util.MediaUtil.generateImageThumbnail""",,,,,,6,0,
Public Static Method,"""org.thoughtcrime.securesms.util.MediaUtil.generateThumbnail""",,,,,,14,0,
Public Static Method,"""org.thoughtcrime.securesms.util.MediaUtil.getPartData""",,,,,,9,0,
Public Static Method,"""org.thoughtcrime.securesms.util.MediaUtil.getSlideForPart""",,,,,,11,0,
Public Static Method,"""org.thoughtcrime.securesms.util.MediaUtil.isAudio""",,,,,,3,0,
Public Static Method,"""org.thoughtcrime.securesms.util.MediaUtil.isImage""",,,,,,3,0,
