From Class,To Class,References,From Entities,To Entities
tachyon.client.RemoteBlockInStream,tachyon.client.WriteType,1,1,1
tachyon.client.RemoteBlockInStream,tachyon.conf.UserConf,2,1,2
tachyon.client.RemoteBlockInStream,tachyon.Constants,1,1,1
tachyon.client.RemoteBlockInStream,tachyon.thrift.ClientBlockInfo,20,9,7
tachyon.client.RemoteBlockInStream,tachyon.thrift.NetAddress,4,3,3
tachyon.client.RemoteBlockInStream,tachyon.UnderFileSystem,3,2,3
tachyon.client.RemoteBlockInStream,tachyon.util.NetworkUtils,3,1,2
tachyon.client.RemoteBlockInStream,tachyon.worker.nio.DataServerMessage,12,3,9
tachyon.client.RemoteBlockInStreamTest,tachyon.client.AbstractTachyonFS,1,1,1
tachyon.client.RemoteBlockInStreamTest,tachyon.client.EmptyBlockInStream,13,7,1
tachyon.client.RemoteBlockInStreamTest,tachyon.client.InStream,75,28,7
tachyon.client.RemoteBlockInStreamTest,tachyon.client.LocalBlockInStream,4,4,1
tachyon.client.RemoteBlockInStreamTest,tachyon.client.OutStream,3,2,3
tachyon.client.RemoteBlockInStreamTest,tachyon.client.ReadType,24,15,2
tachyon.client.RemoteBlockInStreamTest,tachyon.client.RemoteBlockInStream,33,16,4
tachyon.client.RemoteBlockInStreamTest,tachyon.client.TachyonFile,55,29,4
tachyon.client.RemoteBlockInStreamTest,tachyon.client.TachyonFS,16,16,2
tachyon.client.RemoteBlockInStreamTest,tachyon.client.WriteType,26,26,3
tachyon.client.RemoteBlockInStreamTest,tachyon.master.LocalTachyonCluster,6,3,5
tachyon.client.RemoteBlockInStreamTest,tachyon.TachyonURI,2,1,2
tachyon.client.RemoteBlockInStreamTest,tachyon.TestUtils,31,15,4
tachyon.client.table.RawColumn,tachyon.client.AbstractTachyonFS,1,1,1
tachyon.client.table.RawColumn,tachyon.client.table.RawTable,5,5,2
tachyon.client.table.RawColumn,tachyon.client.TachyonFile,2,2,1
tachyon.client.table.RawColumn,tachyon.client.TachyonFS,4,4,3
tachyon.client.table.RawColumn,tachyon.master.MasterInfo,3,3,1
tachyon.client.table.RawColumn,tachyon.TachyonURI,9,6,2
tachyon.client.table.RawColumn,tachyon.util.CommonUtils,3,3,1
tachyon.client.table.RawColumnTest,tachyon.client.table.RawColumn,4,2,4
tachyon.client.table.RawColumnTest,tachyon.client.table.RawTable,2,2,2
tachyon.client.table.RawColumnTest,tachyon.client.TachyonFile,2,2,2
tachyon.client.table.RawColumnTest,tachyon.client.TachyonFS,3,2,3
tachyon.client.table.RawColumnTest,tachyon.conf.CommonConf,4,1,2
tachyon.client.table.RawColumnTest,tachyon.master.LocalTachyonCluster,6,3,5
tachyon.client.table.RawColumnTest,tachyon.master.MasterInfo,1,1,1
tachyon.client.table.RawColumnTest,tachyon.TachyonURI,4,1,3
tachyon.client.table.RawColumnTest,tachyon.thrift.FileAlreadyExistException,1,1,1
tachyon.client.table.RawColumnTest,tachyon.thrift.FileDoesNotExistException,1,1,1
tachyon.client.table.RawColumnTest,tachyon.thrift.InvalidPathException,1,1,1
tachyon.client.table.RawColumnTest,tachyon.thrift.TableColumnException,1,1,1
tachyon.client.table.RawColumnTest,tachyon.thrift.TableDoesNotExistException,1,1,1
tachyon.client.table.RawTable,tachyon.client.table.RawColumn,3,1,2
tachyon.client.table.RawTable,tachyon.client.TachyonFS,3,3,2
tachyon.client.table.RawTable,tachyon.thrift.ClientRawTableInfo,12,9,7
tachyon.client.table.RawTable,tachyon.util.CommonUtils,2,2,1
tachyon.client.table.RawTableTest,tachyon.client.OutStream,3,2,3
tachyon.client.table.RawTableTest,tachyon.client.table.RawColumn,7,4,4
tachyon.client.table.RawTableTest,tachyon.client.table.RawTable,41,14,8
tachyon.client.table.RawTableTest,tachyon.client.TachyonByteBuffer,6,3,3
tachyon.client.table.RawTableTest,tachyon.client.TachyonFile,6,4,3
tachyon.client.table.RawTableTest,tachyon.client.TachyonFS,40,8,5
tachyon.client.table.RawTableTest,tachyon.client.WriteType,1,1,1
tachyon.client.table.RawTableTest,tachyon.conf.CommonConf,24,6,2
tachyon.client.table.RawTableTest,tachyon.master.LocalTachyonCluster,6,3,5
tachyon.client.table.RawTableTest,tachyon.TachyonURI,33,14,2
tachyon.client.table.RawTableTest,tachyon.TestUtils,19,7,2
tachyon.client.TachyonByteBuffer,tachyon.client.TachyonFS,3,3,2
tachyon.client.TachyonFile,tachyon.client.AbstractTachyonFS,1,1,1
tachyon.client.TachyonFile,tachyon.client.BlockInStream,1,1,1
tachyon.client.TachyonFile,tachyon.client.BlockOutStream,7,2,5
tachyon.client.TachyonFile,tachyon.client.EmptyBlockInStream,2,1,2
tachyon.client.TachyonFile,tachyon.client.FileInStream,2,1,2
tachyon.client.TachyonFile,tachyon.client.FileOutStream,2,1,2
tachyon.client.TachyonFile,tachyon.client.InStream,1,1,1
tachyon.client.TachyonFile,tachyon.client.OutStream,1,1,1
tachyon.client.TachyonFile,tachyon.client.ReadType,1,1,1
tachyon.client.TachyonFile,tachyon.client.RemoteBlockInStream,1,1,1
tachyon.client.TachyonFile,tachyon.client.TachyonByteBuffer,9,5,2
tachyon.client.TachyonFile,tachyon.client.TachyonFS,14,9,9
tachyon.client.TachyonFile,tachyon.client.WriteType,2,2,2
tachyon.client.TachyonFile,tachyon.conf.UserConf,3,3,3
tachyon.client.TachyonFile,tachyon.Constants,1,1,1
tachyon.client.TachyonFile,tachyon.TachyonURI,1,1,1
tachyon.client.TachyonFile,tachyon.thrift.ClientBlockInfo,11,10,5
tachyon.client.TachyonFile,tachyon.thrift.ClientFileInfo,17,14,11
tachyon.client.TachyonFile,tachyon.thrift.NetAddress,1,1,1
tachyon.client.TachyonFile,tachyon.UnderFileSystem,3,2,3
tachyon.client.TachyonFileTest,tachyon.client.AbstractTachyonFS,2,2,2
tachyon.client.TachyonFileTest,tachyon.client.OutStream,2,2,2
tachyon.client.TachyonFileTest,tachyon.client.TachyonByteBuffer,3,2,3
tachyon.client.TachyonFileTest,tachyon.client.TachyonFile,37,15,9
tachyon.client.TachyonFileTest,tachyon.client.TachyonFS,22,7,6
tachyon.client.TachyonFileTest,tachyon.client.WriteType,13,6,3
tachyon.client.TachyonFileTest,tachyon.conf.WorkerConf,2,1,2
tachyon.client.TachyonFileTest,tachyon.master.LocalTachyonCluster,6,3,5
tachyon.client.TachyonFileTest,tachyon.TachyonURI,18,5,2
tachyon.client.TachyonFileTest,tachyon.TestUtils,1,1,1
tachyon.client.TachyonFileTest,tachyon.thrift.ClientBlockInfo,1,1,1
tachyon.client.TachyonFileTest,tachyon.util.CommonUtils,3,2,1
tachyon.client.TachyonFileUpdateTest,tachyon.client.AbstractTachyonFS,1,1,1
tachyon.client.TachyonFileUpdateTest,tachyon.client.TachyonFile,3,3,1
tachyon.client.TachyonFileUpdateTest,tachyon.client.TachyonFileUpdateTest.Write,4,2,2
tachyon.client.TachyonFileUpdateTest,tachyon.client.TachyonFS,3,3,3
tachyon.client.TachyonFileUpdateTest,tachyon.client.WriteType,2,2,2
tachyon.client.TachyonFileUpdateTest,tachyon.master.LocalTachyonCluster,6,3,5
tachyon.client.TachyonFileUpdateTest,tachyon.TachyonURI,6,4,3
tachyon.client.TachyonFileUpdateTest.rerunBuffer.(Anon_2),tachyon.client.OutStream,2,2,2
tachyon.client.TachyonFileUpdateTest.rerunBuffer.(Anon_2),tachyon.client.TachyonFile,2,2,2
tachyon.client.TachyonFileUpdateTest.rerunBuffer.(Anon_2),tachyon.client.TachyonFileUpdateTest.Write,1,1,1
tachyon.client.TachyonFileUpdateTest.rerunBuffer.(Anon_2),tachyon.client.WriteType,1,1,1
tachyon.client.TachyonFileUpdateTest.rerunOutStream.(Anon_1),tachyon.client.TachyonFile,2,2,2
tachyon.client.TachyonFileUpdateTest.rerunOutStream.(Anon_1),tachyon.client.TachyonFileUpdateTest.Write,1,1,1
tachyon.client.TachyonFileUpdateTest.rerunOutStream.(Anon_1),tachyon.client.WriteType,1,1,1
tachyon.client.TachyonFileUpdateTest.Write,tachyon.client.TachyonFile,1,1,1
tachyon.client.TachyonFileUpdateTest.Write,tachyon.client.WriteType,1,1,1
tachyon.client.TachyonFS,tachyon.client.AbstractTachyonFS,3,3,3
tachyon.client.TachyonFS,tachyon.client.table.RawTable,6,2,2
tachyon.client.TachyonFS,tachyon.client.TachyonFile,10,6,2
tachyon.client.TachyonFS,tachyon.client.TachyonFS.getFileStatus.K,2,2,1
tachyon.client.TachyonFS,tachyon.conf.CommonConf,4,1,2
tachyon.client.TachyonFS,tachyon.conf.UserConf,4,1,3
tachyon.client.TachyonFS,tachyon.Constants,12,5,5
tachyon.client.TachyonFS,tachyon.master.MasterClient,27,26,25
tachyon.client.TachyonFS,tachyon.TachyonURI,67,42,15
tachyon.client.TachyonFS,tachyon.thrift.ClientBlockInfo,2,2,1
tachyon.client.TachyonFS,tachyon.thrift.ClientDependencyInfo,1,1,1
tachyon.client.TachyonFS,tachyon.thrift.ClientFileInfo,21,17,4
tachyon.client.TachyonFS,tachyon.thrift.ClientRawTableInfo,2,2,1
tachyon.client.TachyonFS,tachyon.thrift.ClientWorkerInfo,1,1,1
tachyon.client.TachyonFS,tachyon.thrift.InvalidPathException,1,1,1
tachyon.client.TachyonFS,tachyon.UnderFileSystem,3,2,3
tachyon.client.TachyonFS,tachyon.util.CommonUtils,2,1,2
tachyon.client.TachyonFS,tachyon.util.ThreadFactoryUtils,1,1,1
tachyon.client.TachyonFS,tachyon.worker.WorkerClient,19,14,14
tachyon.client.TachyonFSCore,tachyon.TachyonURI,10,10,1
tachyon.client.TachyonFSCore,tachyon.thrift.ClientFileInfo,2,2,1
tachyon.client.TachyonFSTest,tachyon.client.AbstractTachyonFS,15,9,5
tachyon.client.TachyonFSTest,tachyon.client.table.RawTable,18,4,5
tachyon.client.TachyonFSTest,tachyon.client.TachyonFile,8,8,3
tachyon.client.TachyonFSTest,tachyon.client.TachyonFS,67,36,14
tachyon.client.TachyonFSTest,tachyon.client.WriteType,3,3,1
tachyon.client.TachyonFSTest,tachyon.conf.CommonConf,8,2,2
tachyon.client.TachyonFSTest,tachyon.conf.WorkerConf,2,1,2
tachyon.client.TachyonFSTest,tachyon.master.LocalTachyonCluster,8,3,7
tachyon.client.TachyonFSTest,tachyon.TachyonURI,96,45,3
tachyon.client.TachyonFSTest,tachyon.TestUtils,23,17,3
tachyon.client.TachyonFSTest,tachyon.thrift.ClientFileInfo,6,6,2
tachyon.client.TachyonFSTest,tachyon.thrift.ClientWorkerInfo,1,1,1
tachyon.client.TachyonFSTest,tachyon.util.CommonUtils,1,1,1
tachyon.client.TachyonFSTestIso,tachyon.client.AbstractTachyonFS,1,1,1
tachyon.client.TachyonFSTestIso,tachyon.client.TachyonByteBuffer,8,7,2
tachyon.client.TachyonFSTestIso,tachyon.client.TachyonFile,40,15,5
tachyon.client.TachyonFSTestIso,tachyon.client.TachyonFS,3,2,3
tachyon.client.TachyonFSTestIso,tachyon.client.WriteType,13,7,1
tachyon.client.TachyonFSTestIso,tachyon.conf.WorkerConf,2,1,2
tachyon.client.TachyonFSTestIso,tachyon.master.LocalTachyonCluster,7,4,6
tachyon.client.TachyonFSTestIso,tachyon.TachyonURI,5,2,2
