Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	net.sourceforge.ganttproject.importer.ImporterBase::acceptImport(net.sourceforge.ganttproject.GanttProject):boolean	net.sourceforge.ganttproject.GanttProject	0/5	
Move Method	net.sourceforge.ganttproject.time.gregorian.TimeFrameImpl::getUnitCount(net.sourceforge.ganttproject.time.gregorian.TimeFrameImpl.LineHeader, net.sourceforge.ganttproject.time.gregorian.TimeFrameImpl.LineHeader, net.sourceforge.ganttproject.time.gregorian.TimeFrameImpl.LineItem):int	net.sourceforge.ganttproject.time.gregorian.TimeFrameImpl.LineItem	0/1	
Move Method	net.sourceforge.ganttproject.io.GanttXFIGSaver::drawbox(java.io.OutputStreamWriter, net.sourceforge.ganttproject.io.GanttXFIGSaver.BoxObject):void	net.sourceforge.ganttproject.io.GanttXFIGSaver.BoxObject	1/16	
Move Method	net.sourceforge.ganttproject.io.GanttXFIGSaver::drawtext(java.io.OutputStreamWriter, net.sourceforge.ganttproject.io.GanttXFIGSaver.TextObject):void	net.sourceforge.ganttproject.io.GanttXFIGSaver.TextObject	1/13	
Move Method	net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage.RoleSetListModel::createTooltipText(net.sourceforge.ganttproject.roles.RoleSet):java.lang.String	net.sourceforge.ganttproject.gui.projectwizard.I18N	1/3	
Move Method	net.sourceforge.ganttproject.chart.ChartModelImpl::setTuningOptions(net.sourceforge.ganttproject.chart.ChartModelImpl.TuningOptions):void	net.sourceforge.ganttproject.chart.TaskRendererImpl	1/2	
Move Method	net.sourceforge.ganttproject.chart.ChartModelImpl::setTuningOptions(net.sourceforge.ganttproject.chart.ChartModelImpl.TuningOptions):void	net.sourceforge.ganttproject.chart.ChartModelImpl.TuningOptions	1/2	
Move Method	net.sourceforge.ganttproject.chart.TaskRendererImpl::renderProgressBar(net.sourceforge.ganttproject.task.Task, net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.Rectangle):void	net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.Rectangle	2/3	
