ExtractMethod(com.hazelcast.client.protocol.generator.CodecCodeGenerator.generateCodec())
"MoveMethod(com.hazelcast.client.protocol.generator.CodecModel.ParameterModel.convertTypeToCSharp(),com.hazelcast.client.protocol.generator.CodeGenerationUtils)"
ExtractMethod(com.hazelcast.spi.impl.operationservice.impl.InvocationNetworkSplitTest.testWaitingInvocations_whenNodeSplitFromCluster())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.nio.tcp.TcpIpConnection.close())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics.toString())
ExtractMethod(com.hazelcast.test.TestHazelcastInstanceFactory.createAddresses())
ExtractMethod(com.hazelcast.client.connection.nio.ClientConnectionManagerImpl.start())
ExtractMethod(com.hazelcast.client.connection.nio.ClientConnectionManagerImpl.ClientConnectionManagerImpl())
ExtractMethod(com.hazelcast.client.connection.nio.ClientConnectionManagerImpl.shutdown())
ExtractMethod(com.hazelcast.client.cache.impl.AbstractClientCacheProxy.getInternal())
"PushDownMethod(com.hazelcast.jca.AbstractDeploymentTest.getConnection(),com.hazelcast.jca.XATransactionTest)"
ExtractClass(com.hazelcast.cache.impl.operation.CacheCreateConfigOperation.CacheConfigCreateCallback and 3 others)
