ExtractMethod(org.jooq.tools.Convert.ConvertAll.from())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
ExtractMethod(org.jooq.impl.ResultImpl.formatCSV())
