net.n3.nanoxml.XMLWriter	private void writeEncoded(java.lang.String) 	writer	B2	0/26	(7413,23,F)(7455,1,F)(7472,10,F)(7498,21,F)(7535,6,F)(7555,9,F)(7580,26,F)(7622,6,F)(7642,9,F)(7667,26,F)(7709,6,F)(7729,9,F)(7754,27,F)(7797,6,F)(7817,10,F)(7843,28,F)(7887,6,F)(7907,9,F)(7932,28,F)(7976,6,F)(7996,8,F)(8024,23,F)(8069,25,F)(8113,43,F)(8175,23,F)(8241,21,F)	2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-
nanoxml.XMLElement	protected boolean checkCDATA(java.lang.StringBuffer) throws java.io.IOException	buf	B5	0/24	(68959,30,F)(69009,25,F)(69054,21,F)(69100,2,F)(69126,9,F)(69164,25,F)(69221,27,F)(69310,16,F)(69355,16,F)(69400,26,F)(69477,6,F)(69504,9,F)(69542,25,F)(69604,9,F)(69615,25,F)(69642,3,F)(69681,16,F)(69756,26,F)(69811,16,F)(69889,26,F)(69966,6,F)(69993,8,F)(70031,9,F)(70042,25,F)(70069,6,F)(70107,16,F)(70174,15,F)(70214,26,F)	9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-
nanoxml.XMLElement	protected boolean checkCDATA(java.lang.StringBuffer) throws java.io.IOException	buf	B6	0/23	(69009,25,F)(69054,21,F)(69100,2,F)(69126,9,F)(69164,25,F)(69221,27,F)(69310,16,F)(69355,16,F)(69400,26,F)(69477,6,F)(69504,9,F)(69542,25,F)(69604,9,F)(69615,25,F)(69642,3,F)(69681,16,F)(69756,26,F)(69811,16,F)(69889,26,F)(69966,6,F)(69993,8,F)(70031,9,F)(70042,25,F)(70069,6,F)(70107,16,F)(70174,15,F)(70214,26,F)	10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-
org.jhotdraw.draw.TriangleFigure	public java.awt.geom.Rectangle2D.Double getFigureDrawBounds() 	width	B1	0/18	(7555,66,F)(7630,18,F)(7661,30,F)(7715,26,F)(7761,13,F)(7795,11,F)(7827,6,F)(7850,14,F)(7889,47,F)(7964,63,F)(8081,25,F)(8149,6,F)(8172,13,F)(8210,47,F)(8285,68,F)(8407,30,F)(8480,6,F)(8519,8,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-
org.jhotdraw.samples.svg.SVGApplicationModel	private void addCreationButtonsTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	drawLabels	B1	0/18	(3832,40,F)(3994,92,F)(4104,114,F)(4263,48,F)(4320,54,F)(4383,56,F)(4448,119,F)(4576,120,F)(4705,137,F)(4851,48,F)(4908,47,F)(4964,56,F)(5029,114,F)(5152,139,F)(5300,48,F)(5357,54,F)(5420,49,F)(5478,114,F)	1-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-
org.jhotdraw.samples.svg.SVGPanel	private void addCreationButtonsTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	drawLabels	B1	0/18	(5099,40,F)(5261,92,F)(5371,186,F)(5602,48,F)(5659,54,F)(5722,56,F)(5787,119,F)(5915,120,F)(6044,137,F)(6190,48,F)(6247,47,F)(6303,56,F)(6368,114,F)(6491,139,F)(6639,48,F)(6696,54,F)(6759,49,F)(6817,114,F)	1-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-
net.n3.nanoxml.NonValidator	protected void processElement(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	ch	B3	0/17	(5377,32,F)(5416,19,F)(5451,2,F)(5466,9,F)(5488,28,F)(5529,6,F)(5546,9,F)(5568,55,F)(5636,6,F)(5653,9,F)(5675,43,F)(5731,6,F)(5748,9,F)(5770,44,F)(5827,6,F)(5844,8,F)(5865,24,F)	6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-
net.n3.nanoxml.NonValidator	protected void processElement(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	entityResolver	B3	0/17	(5377,32,F)(5416,19,F)(5451,2,F)(5466,9,F)(5488,28,F)(5529,6,F)(5546,9,F)(5568,55,F)(5636,6,F)(5653,9,F)(5675,43,F)(5731,6,F)(5748,9,F)(5770,44,F)(5827,6,F)(5844,8,F)(5865,24,F)	6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-
net.n3.nanoxml.NonValidator	protected void processElement(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	str	B3	0/17	(5377,32,F)(5416,19,F)(5451,2,F)(5466,9,F)(5488,28,F)(5529,6,F)(5546,9,F)(5568,55,F)(5636,6,F)(5653,9,F)(5675,43,F)(5731,6,F)(5748,9,F)(5770,44,F)(5827,6,F)(5844,8,F)(5865,24,F)	6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-
org.jhotdraw.draw.action.ToolBarButtonFactory	public static void addStrokeTypeButtonTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	strokeTypePopupButton	B1	0/17	(19709,88,F)(19817,56,F)(19883,75,F)(19968,42,F)(20022,368,F)(20400,71,F)(20481,55,F)(20546,40,F)(20596,271,F)(20877,42,F)(20929,55,F)(20994,40,F)(21044,271,F)(21325,42,F)(21377,55,F)(21442,40,F)(21492,271,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-
org.jhotdraw.draw.BezierControlPointHandle	public void trackEnd(java.awt.Point, java.awt.Point, int) 	figure	B1	0/17	(4715,40,F)(4769,76,F)(4862,20,F)(4896,42,F)(4952,34,F)(5004,14,F)(5118,61,F)(5197,60,F)(5275,42,F)(5335,129,F)(5482,26,F)(5526,26,F)(5588,154,F)(5760,15,F)(5793,15,F)(5837,25,F)(5876,17,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-
org.jhotdraw.draw.BezierControlPointHandle	public void trackEnd(java.awt.Point, java.awt.Point, int) 	figure	B2	0/15	(4862,20,F)(4896,42,F)(4952,34,F)(5004,14,F)(5118,61,F)(5197,60,F)(5275,42,F)(5335,129,F)(5482,26,F)(5526,26,F)(5588,154,F)(5760,15,F)(5793,15,F)(5837,25,F)(5876,17,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-
nanoxml.XMLElement	protected void skipSpecialTag(int) throws java.io.IOException	stringDelimiter	B11	0/16	(71949,12,F)(71977,26,F)(72020,23,F)(72067,27,F)(72118,21,F)(72167,17,F)(72212,9,F)(72249,14,F)(72295,9,F)(72332,14,F)(72407,9,F)(72440,18,F)(72486,9,F)(72519,18,F)(72597,21,F)(72642,23,F)	16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-
nanoxml.XMLElement	protected void resolveEntity(java.lang.StringBuffer) throws java.io.IOException	buf	B2	0/16	(78341,21,F)(78379,9,F)(78408,6,F)(78441,18,F)(78478,31,F)(78522,20,F)(78558,3,F)(78584,20,F)(78628,51,F)(78725,51,F)(78916,15,F)(78961,47,F)(79025,13,F)(79058,30,F)(79115,18,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-
nanoxml.XMLElement	protected void resolveEntity(java.lang.StringBuffer) throws java.io.IOException	buf	B6	0/11	(78478,31,F)(78522,20,F)(78558,3,F)(78584,20,F)(78628,51,F)(78725,51,F)(78916,15,F)(78961,47,F)(79025,13,F)(79058,30,F)(79115,18,F)	8-9-10-11-12-13-14-15-16-17-18-
org.jhotdraw.samples.net.NetApplicationModel	public List<javax.swing.JMenu> createMenus(org.jhotdraw.app.Application, org.jhotdraw.app.Project) 	m	B1	0/15	(5562,87,F)(5766,12,F)(5844,23,F)(5912,16,F)(5937,32,F)(5978,54,F)(6041,66,F)(6116,12,F)(6137,23,F)(6174,9,F)(6186,12,F)(6214,31,F)(6254,44,F)(6307,56,F)(6372,13,F)(6404,10,F)	2-4-7-9-10-11-12-13-14-15-16-17-18-19-20-
org.jhotdraw.samples.pert.PertApplicationModel	public List<javax.swing.JMenu> createMenus(org.jhotdraw.app.Application, org.jhotdraw.app.Project) 	m	B1	0/15	(5740,87,F)(5944,12,F)(6022,23,F)(6090,16,F)(6115,32,F)(6156,54,F)(6219,66,F)(6294,12,F)(6315,23,F)(6352,9,F)(6364,12,F)(6392,31,F)(6432,44,F)(6485,56,F)(6550,13,F)(6582,10,F)	2-4-7-9-10-11-12-13-14-15-16-17-18-19-20-
org.jhotdraw.draw.BezierControlPointHandle	public void trackEnd(java.awt.Point, java.awt.Point, int) 	v	B2	0/15	(4862,20,F)(4896,42,F)(4952,34,F)(5004,14,F)(5118,61,F)(5197,60,F)(5275,42,F)(5335,129,F)(5482,26,F)(5526,26,F)(5588,154,F)(5760,15,F)(5793,15,F)(5837,25,F)(5876,17,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-
net.n3.nanoxml.CDATAReader	public void close() throws java.io.IOException	reader	B1	0/14	(3813,18,F)(3844,25,F)(3884,7,F)(3907,24,F)(3962,19,F)(4007,9,F)(4032,30,F)(4080,10,F)(4109,30,F)(4160,10,F)(4192,6,F)(4232,21,F)(4269,24,F)(4330,24,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	app	B2	0/14	(1645,22,F)(1723,47,F)(1787,130,F)(1937,20,F)(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.DeleteAction	public void deleteNextChar(java.awt.event.ActionEvent) 	beep	B1	0/14	(1867,44,F)(1920,20,F)(1953,41,F)(2010,3,F)(2032,53,F)(2102,32,F)(2151,25,F)(2193,27,F)(2241,11,F)(2276,54,F)(2351,13,F)(2392,21,F)(2437,19,F)(2477,13,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-
org.jhotdraw.app.action.DeleteAction	public void deleteNextChar(java.awt.event.ActionEvent) 	beep	B2	0/10	(2032,53,F)(2102,32,F)(2151,25,F)(2193,27,F)(2241,11,F)(2276,54,F)(2351,13,F)(2392,21,F)(2437,19,F)(2477,13,F)	5-6-7-8-9-10-11-12-13-14-
